id,kfold,sentiment,rf_lsa_pred
1,0,0,0.265
2,0,0,0.35
3,0,1,0.695
4,0,0,0.275
5,0,1,0.445
6,0,1,0.83
7,0,1,0.43
8,0,0,0.29
9,0,1,0.62
10,0,1,0.435
11,0,1,0.78
12,0,1,0.545
13,0,1,0.575
14,0,0,0.31
15,0,1,0.59
16,0,1,0.65
17,0,0,0.605
18,0,1,0.785
19,0,0,0.205
20,0,1,0.515
21,0,0,0.575
22,0,1,0.795
23,0,1,0.355
24,0,1,0.75
25,0,0,0.445
26,0,1,0.56
27,0,1,0.675
28,0,1,0.74
29,0,0,0.16
30,0,0,0.11
31,0,0,0.255
32,0,0,0.515
33,0,1,0.435
34,0,0,0.375
35,0,1,0.8
36,0,0,0.33
37,0,1,0.46
38,0,1,0.625
39,0,1,0.735
40,0,1,0.63
41,0,1,0.565
42,0,1,0.625
43,0,1,0.735
44,0,0,0.135
45,0,0,0.375
46,0,0,0.355
47,0,0,0.42
48,0,1,0.675
49,0,0,0.43
50,0,1,0.63
51,0,1,0.525
52,0,0,0.665
53,0,1,0.685
54,0,1,0.66
55,0,1,0.375
56,0,0,0.26
57,0,0,0.505
58,0,0,0.295
59,0,0,0.41
60,0,1,0.56
61,0,0,0.32
62,0,0,0.5
63,0,1,0.365
64,0,1,0.77
65,0,0,0.41
66,0,0,0.26
67,0,0,0.345
68,0,1,0.47
69,0,0,0.365
70,0,1,0.76
71,0,1,0.445
72,0,1,0.84
73,0,1,0.63
74,0,1,0.66
75,0,1,0.775
76,0,1,0.72
77,0,0,0.43
78,0,1,0.69
79,0,1,0.68
80,0,0,0.37
81,0,1,0.615
82,0,1,0.91
83,0,1,0.465
84,0,1,0.75
85,0,0,0.47
86,0,1,0.835
87,0,1,0.38
88,0,1,0.695
89,0,1,0.73
90,0,0,0.115
91,0,0,0.145
92,0,0,0.16
93,0,1,0.615
94,0,0,0.18
95,0,0,0.37
96,0,1,0.625
97,0,1,0.715
98,0,0,0.39
99,0,0,0.49
100,0,0,0.47
101,0,1,0.635
102,0,1,0.515
103,0,1,0.685
104,0,1,0.68
105,0,1,0.555
106,0,1,0.43
107,0,0,0.29
108,0,1,0.45
109,0,0,0.27
110,0,1,0.69
111,0,0,0.415
112,0,1,0.465
113,0,0,0.27
114,0,1,0.73
115,0,1,0.655
116,0,0,0.385
117,0,1,0.84
118,0,0,0.38
119,0,1,0.705
120,0,1,0.83
121,0,0,0.185
122,0,0,0.46
123,0,1,0.63
124,0,1,0.575
125,0,0,0.6
126,0,1,0.595
127,0,0,0.265
128,0,0,0.33
129,0,1,0.625
130,0,0,0.445
131,0,1,0.64
132,0,1,0.785
133,0,0,0.48
134,0,1,0.745
135,0,1,0.75
136,0,1,0.56
137,0,0,0.405
138,0,1,0.67
139,0,1,0.74
140,0,1,0.82
141,0,0,0.39
142,0,1,0.795
143,0,0,0.265
144,0,1,0.725
145,0,0,0.4
146,0,0,0.31
147,0,1,0.595
148,0,1,0.65
149,0,0,0.345
150,0,0,0.58
151,0,0,0.655
152,0,0,0.295
153,0,1,0.44
154,0,1,0.87
155,0,1,0.67
156,0,1,0.635
157,0,1,0.705
158,0,0,0.58
159,0,1,0.73
160,0,0,0.16
161,0,1,0.425
162,0,0,0.585
163,0,1,0.43
164,0,1,0.63
165,0,0,0.65
166,0,1,0.53
